id,name,link,regular_price,promo_price,city
235414,"Кофе Miscela D'Oro Espresso Gran Crema в зернах, 1кг",https://online.metro-cc.ru/products/kofe-miscela-doro-espresso-gran-crema-v-zernah-1kg,3 099,2 499,Москва
257437,"Кофе Italco Espresso Alpino Crema Oro зерновой, 1кг",https://online.metro-cc.ru/products/1kg-kofe-italco-espresso-alpino-crema-oro-zerno,2 949,2 299,Москва
246950,"Кофе Barbera Classica в зернах, 1кг",https://online.metro-cc.ru/products/kofe-barbera-classica-v-zernah-1kg,4 669,2 499,Москва
107074,"Кофе Carraro Primo Mattino в зернах, 1кг",https://online.metro-cc.ru/products/v-zernah-carraro-primo-mattino-1-kg,2 499,2 099,Москва
123862,"Кофе Kimbo Caffe Crema Dolce Medium в зернах, 1кг",https://online.metro-cc.ru/products/1kg-kimbo-caffe-crema-dolce-medium,2 699,2 199,Москва
246966,"Кофе Cagliari Gran Espresso в зернах, 1кг",https://online.metro-cc.ru/products/kofe-cagliari-gran-espresso-v-zernah-1kg,3 699,1 999,Москва
226933,"Кофе Carraro Cafe crema в зернах, 1кг",https://online.metro-cc.ru/products/1kg-kofe-carraro-caffe-crema-v-zernah,2 399,2 099,Москва
218711,"Кофе Poetti Leggenda Original в зернах, 250г",https://online.metro-cc.ru/products/250g-kofe-poetti-leggenda-original-v-zernah,579,389,Москва
226934,"Кофе Italco Espresso Italiano в зернах, 1кг",https://online.metro-cc.ru/products/1kg-kofe-italco-espresso-italiano-v-zernah,2 399,1 799,Москва
629008,"Кофе Kimbo Intenso в зернах, 1кг",https://online.metro-cc.ru/products/kimbo-intenso-1kg,2 199,1 799,Москва
259876,"Кофе Alta Roma Papua New Guinea зерновой, 1кг",https://online.metro-cc.ru/products/1kg-kofe-alta-roma-papua-new-guinea-zerno,2 749,1 799,Москва
259875,"Кофе Alta Roma Supremo зерновой, 1кг",https://online.metro-cc.ru/products/1kg-kofe-alta-roma-supremo-zerno,2 489,1 599,Москва
235419,"Кофе Miscela D'Oro Espresso Intenso в зернах, 1кг",https://online.metro-cc.ru/products/kofe-miscela-doro-espresso-intenso-v-zernah-1kg,1 899,1 699,Москва
228778,"Кофе Fresco Horeca arabica в зернах, 1кг",https://online.metro-cc.ru/products/1kg-kofe-fresco-horeca-arabica-zerno,2 099,1 499,Москва
218717,"Кофе Poetti Leggenda Espresso в зернах, 1кг",https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-espresso-v-zernah,2 589,1 499,Москва
